URL                                                                          , Change Frequency, Priority
https://www.roamers.in/                                                      , daily           ,      1.0
https://www.roamers.in/trips                                                 , weekly          ,      0.9
https://www.roamers.in/backpacking-trips                                     , weekly          ,      0.9
https://www.roamers.in/shortbreak-trips                                      , weekly          ,      0.9
https://www.roamers.in/group-trips                                           , weekly          ,      0.9
https://www.roamers.in/upcoming-trips                                        , weekly          ,      0.9
https://www.roamers.in/events                                                , weekly          ,      0.9
https://www.roamers.in/blog                                                  , weekly          ,      0.9
https://www.roamers.in/calendar                                              , monthly         ,      0.8
https://www.roamers.in/cancellation-policy                                   , yearly          ,      0.5
https://www.roamers.in/how-to-choose-best-solo-group-travel-package          , monthly         ,      0.8
https://www.roamers.in/how-to-choose-group-and-solo                          , monthly         ,      0.8
https://www.roamers.in/how-to-choose-the-right-group-trip                    , monthly         ,      0.8
https://www.roamers.in/india's-hidden-gems-10-best-camping-cestinations      , monthly         ,      0.8
https://www.roamers.in/island-hopping-in-andaman                             , monthly         ,      0.8
https://www.roamers.in/ladak-blog                                            , monthly         ,      0.8
https://www.roamers.in/must-do-experiences-in-kerala-the-ultimate-bucket-list, monthly         ,      0.8
https://www.roamers.in/perfect-weekend-getaway                               , monthly         ,      0.8
https://www.roamers.in/top-benefits-of-group-travel                          , monthly         ,      0.8
https://www.roamers.in/unlimited-guide-backpacking-trips                     , monthly         ,      0.8
https://www.roamers.in/7-Celestial-Havens                                    , monthly         ,      0.8
https://www.roamers.in/andaman                                               , monthly         ,      0.8
https://www.roamers.in/andaman-8D                                            , monthly         ,      0.8
https://www.roamers.in/andaman-christmas&newyear                             , monthly         ,      0.8
https://www.roamers.in/andaman-group-trip                                    , monthly         ,      0.8
https://www.roamers.in/andaman-packages                                      , monthly         ,      0.8
https://www.roamers.in/bali                                                  , monthly         ,      0.8
https://www.roamers.in/bali-6days-5nights-1                                  , monthly         ,      0.8
https://www.roamers.in/bali-6days-5nights-2                                  , monthly         ,      0.8
https://www.roamers.in/chikmagalur                                           , monthly         ,      0.8
https://www.roamers.in/chikmagalur-christmas&newyear                         , monthly         ,      0.8
https://www.roamers.in/christmas&newyear                                     , monthly         ,      0.8
https://www.roamers.in/dubai-4D                                              , monthly         ,      0.8
https://www.roamers.in/dubai-5D                                              , monthly         ,      0.8
https://www.roamers.in/dubai-7D                                              , monthly         ,      0.8
https://www.roamers.in/dubai-packages                                        , monthly         ,      0.8
https://www.roamers.in/kashmir                                               , monthly         ,      0.8
https://www.roamers.in/kedarkantha                                           , monthly         ,      0.8
https://www.roamers.in/kerala                                                , monthly         ,      0.8
https://www.roamers.in/kerala-chritsmas&newyear                              , monthly         ,      0.8
https://www.roamers.in/kerala-grand-circuit                                  , monthly         ,      0.8
https://www.roamers.in/kerala-onam                                           , monthly         ,      0.8
https://www.roamers.in/kodaikanal                                            , monthly         ,      0.8
https://www.roamers.in/kodaikanal1                                           , monthly         ,      0.8
https://www.roamers.in/kodaikanal1-christmas&newyear                         , monthly         ,      0.8
https://www.roamers.in/kolukkumalai                                          , monthly         ,      0.8
https://www.roamers.in/kolukkumalai-trek                                     , monthly         ,      0.8
https://www.roamers.in/kolukkumalai-trek1                                    , monthly         ,      0.8
https://www.roamers.in/ladakh-circuit                                        , monthly         ,      0.8
https://www.roamers.in/ladakh-umlingla                                       , monthly         ,      0.8
https://www.roamers.in/mahashivratri-ooty                                    , monthly         ,      0.8
https://www.roamers.in/manali                                                , monthly         ,      0.8
https://www.roamers.in/meghalaya                                             , monthly         ,      0.8
https://www.roamers.in/meghalaya-backpacking-trip                            , monthly         ,      0.8
https://www.roamers.in/meghalaya-christmas-new-year                          , monthly         ,      0.8
https://www.roamers.in/munnar-alleppey3                                      , monthly         ,      0.8
https://www.roamers.in/ooty                                                  , monthly         ,      0.8
https://www.roamers.in/ooty-christmas&newyear                                , monthly         ,      0.8
https://www.roamers.in/pondi-christmas&newyear                               , monthly         ,      0.8
https://www.roamers.in/pondicherry                                           , monthly         ,      0.8
https://www.roamers.in/pondicherry1                                          , monthly         ,      0.8
https://www.roamers.in/skandagiri                                            , monthly         ,      0.8
https://www.roamers.in/spiti-chandratal                                      , monthly         ,      0.8
https://www.roamers.in/spiti-valley                                          , monthly         ,      0.8
https://www.roamers.in/spitivalley-winter                                    , monthly         ,      0.8
https://www.roamers.in/spitivalley-winter-christmas&newyear                  , monthly         ,      0.8
https://www.roamers.in/srilanka                                              , monthly         ,      0.8
https://www.roamers.in/srilanka-christmas&newyear                            , monthly         ,      0.8
https://www.roamers.in/tawang                                                , monthly         ,      0.8
https://www.roamers.in/valley-of-flowers                                     , monthly         ,      0.8
https://www.roamers.in/varkala                                               , monthly         ,      0.8
https://www.roamers.in/varkala-3days-2nights-1                               , monthly         ,      0.8
https://www.roamers.in/varkala-3days-2nights-2                               , monthly         ,      0.8
https://www.roamers.in/varkala-4days-3nights-1                               , monthly         ,      0.8
https://www.roamers.in/varkala-4days-3nights-2                               , monthly         ,      0.8
https://www.roamers.in/varkala-5days-4nights                                 , monthly         ,      0.8
https://www.roamers.in/varkala-grouptrip                                     , monthly         ,      0.8
https://www.roamers.in/varkala-packages                                      , monthly         ,      0.8
https://www.roamers.in/wayanad                                               , monthly         ,      0.8
https://www.roamers.in/wayanad1                                              , monthly         ,      0.8
https://www.roamers.in/wayanad-christmas&newyear                             , monthly         ,      0.8
https://www.roamers.in/yelagiri                                              , monthly         ,      0.8
https://www.roamers.in/yelagiri-group-trip                                   , monthly         ,      0.8
https://www.roamers.in/assets/brochures/Ooty-Itinerary.pdf                   , yearly          ,      0.4
